Ascaris Roundworm,"2,500.00",Animal,"Ascaris Roundworm: Roundworm infections which are very hard to cure once in advanced stages, killed 2500 people in 2014.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,http://ian.umces.edu/imagelibrary/displayimage-4441.html,ascaris roundworm.png
Terrorist Attacks on US Soil,"3,264.00",Human vs Human,"Terrorist Attacks on US Soil: From 1995-2014, 3264 people in the U.S. died to terrorist attacks (3003 of which occured during the 9/11 attacks).",https://www.start.umd.edu/pubs/START_AmericanTerrorismDeaths_FactSheet_Oct2015.pdf,http://gideongartner.com/2010/10/from-the-investigative-project-on-terrorism/,terrorist.png
Gun Violence,"3,664.00",Human related,Gun Violence: Domestic gun violence killed 3664 people in 2015 alone - vote Bernie Sanders!,http://www.gunviolencearchive.org/,https://openclipart.org/,gun violence.png
Blizzard,"4,000.00",Natrual disaster,Blizzards: Blizzards and snowstorms -- and cold in general killed 4000 people in Iran in 1972 - one of the worst cold spells in the history of the Middle East.,"""NOAA News Online (Story 334b)"". noaa.gov.",https://www.iconfinder.com/icons/616852/blizzard_disaster_snow_snowing_snowstorm_icon,blizzard.png
Chernobyl,"4,000.00",Industrial,Chernobyl: The nuclear fallout in Ukraine in 1986 claimed 4000+ lives when it happened. It also doomed the area for generations to come.,"""Chernobyl: the true scale of the accident"". WHO. WHO/IAEA/UNDP.",https://openclipart.org/,chernobyl.png
Iraq War,"4,800.00",War,Iraq War: The Iraq War has claimed 4800 American Lives since the year 2003 -- both military and civillian.,http://www.statisticbrain.com/u-s-war-death-statistics/,https://www.icrc.org/en/document/iraq-highest-number-displaced-2015,iraq.png
Carbon Monoxide Poisoning,"5,149.00",Human related,"Carbon Monoxide Poisioning: Although we're not quite sure how this happens, Carbon Monoxide poisoning claims 5150 odd lives every year.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6303a6.htm,http://magicacid.com/chemistry/2014/05/25/CO-detector.html,carbon monoxide.png
Malaria,"8,680.00",Disase,"Malaria: Malaria, caused by the bite of the Anopheles mosquito, kills approximately 8680 people per year in the modern day. No known vaccine exists for malaria.",http://apps.who.int/gho/data/node.main.A1367?lang=en,http://www.mymetics.com/vaccine-pipeline/malaria/,malaria.png
Tsetse Fly,"10,000.00",Animal,"Tsetse Fly: The Tsetse fly, known to cause sleeping sickness in Africa, kills 10000 people per year, primarily in the Sub-Saharan Region.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,tsetse fly.png
Assassin Bug,"10,000.00",Animal,Assassin Bug: The Assassin Bug kills 10000 people per year. Truly belongs on Assassin's Creed.,https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,http://www.dkfindout.com/uk/animals-and-nature/invertebrates/what-is-an-invertebrate/,assassin bug.png
Freshwater Snails,"10,000.00",Animal,"Freshwater Snails: Looks can be deceiving. Physical contact with freshwater snails kill 10,000 people in the world every year.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,freshwater snail.png
Homicide,"14,350.00",Human related,"Homicide: Pre-planned human-on-human violence killed 14,350 people in the United States alone in 2014. We made sure there was as little overlap as possible with gun violence in this case.",https://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2014/crime-in-the-u.s.-2014/offenses-known-to-law-enforcement/murder,http://cliparts.co/murder-mystery-clip-art,murder.png
Storm (non-cyclone),"15,100.00",Natrual disaster,"Storm: The 1999 Vargas Tragedy killed 15,100 people -- one of the worst storms in histoy.","Wieczorek GF, Larsen MC, Eaton LS, Morgan BA, Blair JL (2 December 2002).""Debris-flow and flooding hazards associated with the December 1999 storm in coastal Venezuela and strategies for mitigation"". U.S. Geological Survey.",https://openclipart.org/,storm.png
Avalanche,"20,000.00",Natrual disaster,"Avalanche: 1970 Huascarán avalanche; triggered by the 1970 Ancash earthquake, killed 20,000 people. It remains the worst avalanche in human history.",http://www.cbc.ca/news/world/the-world-s-worst-natural-disasters-1.743208,https://www.iconfinder.com/icons/694266/avalanche_danger_disaster_mountain_natural_snow_snow_slide_icon,avalanche.png
Dog,"25,000.00",Animal,"Dog: Man's best friend is responsible for the deaths of 25,000 people worldwide, per year. Poor sharks just get a bad reputation.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,dog.png
American Revolutionary War,"25,000.00",War,"American Revolution: 25,000 patriots lost their lives in the quest for freedom, liberty and democracy between 1775 and 1783.",http://www.statisticbrain.com/u-s-war-death-statistics/,https://en.wikibooks.org/wiki/Wikijunior:United_States_Charters_of_Freedom/The_13_Colonies,american revolution.png
Road Accidents,"32,675.00",Accident,"Road Accidents: Road Accidents killed 32,675 pedestrians and drivers in the US alone in 2014.",http://www.iihs.org/iihs/topics/t/general-statistics/fatalityfacts/state-by-state-overview,https://openclipart.org/,car accident.png
Korean War,"36,516.00",War,"Korean War: 36,516 American soldiers were killed between 1950-53 in the Korean War.",http://www.statisticbrain.com/u-s-war-death-statistics/,https://openclipart.org/,korea.png
Suicide,"42,773.00",Human related,"Suicide: 42,773 lives were lost as a result of self harm in 2015 -- in the United States alone.",http://afsp.org/about-suicide/suicide-statistics/,http://www.iconarchive.com/show/windows-8-icons-by-icons8/Healthcare-Suicide-Risk-icon.html,suicide.png
Snake,"50,000.00",Animal,"Snake: Venomous and Non-venomous snakes killed 50,000 people across the world in 2014.",https://www.gatesnotes.com/Health/Most-Lethal-Animal-Mosquito-Week?WT.mc_id=MosquitoWeek2014_SharkWeek_tw&WT.tsrc=Twitter,https://openclipart.org/,snake.png
Vietnam War,"58,209.00",War,"Vietnam War: Compulsory conscription led to a very poorly fought war. 58,209 lives were lost in Vietnam in the period of 1955-75.",http://www.statisticbrain.com/u-s-war-death-statistics/,http://www.kitesurfholidaysvietnam.com/kitesurf-trip/,vietnam.png
Heat Wave,"70,000.00",Natrual disaster,"Heat Wave: The 2003 European Heatwave killed 70,000 people all across Europe.","Robine, Jean-Marie; Cheung, Siu Lan K.; Le Roy, Sophie; Van Oyen, Herman; Griffiths, Clare; Michel, Jean-Pierre; Herrmann, François Richard (2008).""Death toll exceeded 70,000 in Europe during the summer of 2003"". Comptes Rendus Biologies 331 (2): 171–178.doi:10.1016/j.crvi.2007.12.001. ISSN 1631-0691.PMID 18241810.",https://www.emergency.nsw.gov.au/community-service-workers/how-are-emergencies-managed-in-nsw.html,heatwave.png
Volcanic Eruption,"92,000.00",Natrual disaster,"Volcanic Erruption: The 1815 eruption of Mount Tambora occured in Indonesia, killing 92,000, making it the deadliest volcanic erruption ever recorded.",USGS account of historical volcanic induced tsunamis. Hvo.wr.usgs.gov.,https://openclipart.org/,volcano.png
